Type,number_regs,imm/shamt,aqrl/rm,Opcode,rd,rs1,rs2,rs3,pred,succ
G1,3,,,add,rd,rs1,rs2,,,
G2,3,,,sub,rd,rs1,rs2,,,
G3,3,,,sll,rd,rs1,rs2,,,
G4,3,,,slt,rd,rs1,rs2,,,
G5,3,,,sltu,rd,rs1,rs2,,,
G6,3,,,xor,rd,rs1,rs2,,,
G7,3,,,srl,rd,rs1,rs2,,,
G8,3,,,sra,rd,rs1,rs2,,,
G9,3,,,or,rd,rs1,rs2,,,
G10,3,,,and,rd,rs1,rs2,,,
G11,3,,,addw,rd,rs1,rs2,,,
G12,3,,,subw,rd,rs1,rs2,,,
G13,3,,,sllw,rd,rs1,rs2,,,
G14,3,,,srlw,rd,rs1,rs2,,,
G15,3,,,sraw,rd,rs1,rs2,,,
G16,3,,,mul,rd,rs1,rs2,,,
G17,3,,,mulh,rd,rs1,rs2,,,
G18,3,,,mulhsu,rd,rs1,rs2,,,
G19,3,,,mulhu,rd,rs1,rs2,,,
G20,3,,,div,rd,rs1,rs2,,,
G21,3,,,divu,rd,rs1,rs2,,,
G22,3,,,rem,rd,rs1,rs2,,,
G23,3,,,remu,rd,rs1,rs2,,,
G24,3,,,mulw,rd,rs1,rs2,,,
G25,3,,,divw,rd,rs1,rs2,,,
G26,3,,,divuw,rd,rs1,rs2,,,
G27,3,,,remw,rd,rs1,rs2,,,
G28,3,,,remuw,rd,rs1,rs2,,,
G29,3,,,fsgnj.s,rd,rs1,rs2,,,
G30,3,,,fsgnjn.s,rd,rs1,rs2,,,
G31,3,,,fsgnjx.s,rd,rs1,rs2,,,
G32,3,,,fmin.s,rd,rs1,rs2,,,
G33,3,,,fmax.s,rd,rs1,rs2,,,
G34,3,,,fle.s,rd,rs1,rs2,,,
G35,3,,,flt.s,rd,rs1,rs2,,,
G36,3,,,feq.s,rd,rs1,rs2,,,
G37,3,,,fsgnj.d,rd,rs1,rs2,,,
G38,3,,,fsgnjn.d,rd,rs1,rs2,,,
G39,3,,,fsgnjx.d,rd,rs1,rs2,,,
G40,3,,,fmin.d,rd,rs1,rs2,,,
G41,3,,,fmax.d,rd,rs1,rs2,,,
G42,3,,,flt.d,rd,rs1,rs2,,,
G43,3,,,fle.d,rd,rs1,rs2,,,
G44,3,,,feq.d,rd,rs1,rs2,,,
