name,simTicks,branchPred.BTBHitRatio,btb.mispredict::total,cpu.numCycles,cpu.cpi
3_fsqrt_s_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_d_l_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_d_lu_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_d_q_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_d_s_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_d_w_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_d_wu_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_l_d_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_l_q_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_l_s_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_lu_d_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_lu_q_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_lu_s_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_q_d_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_q_l_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_q_lu_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_q_s_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_q_w_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_q_wu_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_s_d_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_s_l_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_s_lu_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_s_q_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_s_wu_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_w_d_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_w_q_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_w_s_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_wu_d_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_wu_q_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fcvt_wu_s_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fsqrt_d_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fsqrt_q_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
4_fsqrt_s_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
5_fadd_d_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
5_fadd_q_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
5_fadd_s_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
5_fdiv_d_s,1606351500.0,0.500114,460.0,3212704.0,0.688847
